Model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc,cv_f1_mean,cv_f1_std
RandomForest,0.9705882352941176,0.9764239028944911,0.9547803617571059,0.9640538914360925,0.9704270132716444,0.9994761745979722,0.969942165067487,0.007067735899935028
DecisionTree,0.9705882352941176,0.9660197412298253,0.9552751663093078,0.960202380952381,0.9704647058823529,0.979725695307425,0.9650446556950945,0.004921063698141038
LogisticRegression,0.9647058823529412,0.973155416012559,0.9413862774204189,0.954998167842656,0.9642172151609393,0.9985871386807292,0.9738753036446098,0.007140062759458799
